Id,Name,ShortName,Alias,IHSOperatorCode,OperatorTicker,CompanyType,CreatedBy,Created,ModifiedBy,Modified,RowVersion
134,VERDAD RESOURCES LLC,VERDAD,VERDAD,272070,NULL,PRIVATE,54,2018-05-29 13:48:45.6474847 +00:00,13,2018-05-29 22:11:00.5088314 +00:00,0x00000000000FEB98
135,GULFPORT ENERGY CORPORATION,GULFPORT,GULFPORT,151873,GPOR,PUBLIC,54,2018-05-29 13:48:45.7724845 +00:00,13,2018-05-29 22:17:34.0567127 +00:00,0x00000000000FEBA9
136,DEVON RESOURCES CORPORATION,DEVON,DEVON,009105,DVN,PUBLIC,54,2018-05-29 13:48:45.9287417 +00:00,13,2018-05-29 20:48:13.9491085 +00:00,0x00000000000FEAA6
137,NBL PERMIAN LLC,NOBLE,NOBLE,272616,NBL,PUBLIC,54,2018-05-29 13:48:46.0537407 +00:00,13,2018-05-29 22:23:08.3100806 +00:00,0x00000000000FEBAF
138,CIRQUE RESOURCES LIMITED PARTNERSHIP,CIRQUE,CIRQUE,228061,NULL,PRIVATE,54,2018-05-29 13:48:46.2256216 +00:00,13,2018-05-29 17:52:36.0327862 +00:00,0x00000000000FE9E5
139,CENTENNIAL RESOURCES PROD LLC,CENTENNIAL,CENTENNIAL,261198,CDEV,PUBLIC,54,2018-05-29 13:48:46.3974966 +00:00,13,2018-05-29 17:50:53.7448537 +00:00,0x00000000000FE9E2
140,BEACON E&P RESOURCES LLC,BEACON E&P,BEACON E&P,273770,NULL,PRIVATE,54,2018-05-29 13:48:46.5226549 +00:00,13,2018-05-29 17:49:16.7767042 +00:00,0x00000000000FE9E0
141,CARRIZO EAGLE FORD LLC,CARRIZO,CARRIZO,244300,CRZO,PUBLIC,13,2018-05-29 15:36:32.1944212 +00:00,NULL,NULL,0x00000000000FE9A9
142,CARRIZO OIL & GAS INCORPORATED,CARRIZO,CARRIZO,129531,CRZO,PUBLIC,13,2018-05-29 15:37:07.1054454 +00:00,NULL,NULL,0x00000000000FE9AA
143,CARRIZO NIOBRARA LLC,CARRIZO,CARRIZO,247992,CRZO,PUBLIC,13,2018-05-29 15:37:36.3767989 +00:00,NULL,NULL,0x00000000000FE9AB
144,CARRIZO PERMIAN LLC,CARRIZO,CARRIZO,266167,CRZO,PUBLIC,13,2018-05-29 15:38:11.1054664 +00:00,NULL,NULL,0x00000000000FE9AC
145,CARRIZO EXPLORATION INCORPORATED,CARRIZO,CARRIZO,130851,CRZO,PUBLIC,13,2018-05-29 15:39:52.7534499 +00:00,NULL,NULL,0x00000000000FE9AD
146,MENDELL NIOBRARA LLC,MENDELL,MENDELL,256124,NULL,PRIVATE,13,2018-05-29 22:22:30.1388653 +00:00,NULL,NULL,0x00000000000FEBAE
147,GREAT WESTERN OIL & GAS COMPANY LLC,GREAT WESTERN,GREAT WESTERN,220765,GWOC,PUBLIC,13,2018-05-29 22:38:54.1925263 +00:00,NULL,NULL,0x00000000000FEC08
148,BISON OIL & GAS LLC,BISON,BISON,270048,NULL,PRIVATE,51,2018-05-30 21:35:05.9118853 +00:00,13,2018-05-30 21:55:46.3118941 +00:00,0x00000000000FF37D
